,year,selling_price,km_driven,mileage,engine,max_power,seats
0,2014,450000,145500,23.4,1248,74.0,5
1,2014,370000,120000,21.14,1498,103.52,5
2,2010,225000,127000,23.0,1396,90.0,5
3,2007,130000,120000,16.1,1298,88.2,5
4,2017,440000,45000,20.14,1197,81.86,5
5,2007,96000,175000,17.3,1061,57.5,5
6,2001,45000,5000,16.1,796,37.0,4
7,2011,350000,90000,23.59,1364,67.1,5
8,2013,200000,169000,20.0,1399,68.1,5
9,2014,500000,68000,19.01,1461,108.45,5
10,2005,92000,100000,17.3,993,60.0,5
11,2009,280000,140000,19.3,1248,73.9,5
12,2007,200000,80000,19.43284223558543,1435,88.10307019094766,5
13,2009,180000,90000,18.9,1061,67.0,5
14,2016,400000,40000,18.15,1198,82.0,5
15,2012,500000,53000,23.0,1396,90.0,5
16,2002,150000,80000,19.7,796,46.3,5
17,2016,680000,100000,22.54,1396,88.73,5
18,2011,174000,100000,21.0,1461,64.1,5
19,2017,950000,50000,25.5,1498,98.6,5
20,2015,525000,40000,26.59,1248,74.0,5
21,2012,600000,72000,21.5,1248,88.8,5
22,2016,575000,45000,21.4,1197,83.1,5
23,2017,275000,28000,24.7,796,47.3,5
24,2013,300000,70000,18.2,1248,73.8,7
25,2009,220000,120000,18.9,1061,67.0,5
26,2018,254999,25000,16.8,796,34.2,8
27,2017,670000,70000,24.3,1248,88.5,5
28,2003,70000,50000,19.43284223558543,1435,88.10307019094766,5
29,2012,150000,35000,14.0,796,35.0,5
30,2017,650000,16200,24.3,1248,88.5,5
31,2019,330000,10000,33.44,796,40.3,4
32,2019,366000,15000,23.95,998,67.1,5
33,2019,1149000,5000,17.0,1591,121.3,5
34,2016,150000,42000,20.63,1198,67.0,5
35,2011,425000,60000,13.93,2179,138.03,7
36,2012,150000,76000,16.1,796,37.0,4
37,2019,2100000,5000,16.0,1368,160.77,5
38,2018,925000,28900,17.8,1497,117.3,5
39,2013,425000,86300,16.8,1497,116.3,5
40,2018,819999,32600,24.3,1248,88.5,5
41,2018,390000,10300,23.95,998,67.05,5
42,2014,1500000,77000,12.55,2982,168.5,7
43,2013,700000,99000,12.99,2494,100.0,7
44,2014,1450000,27800,14.8,2143,120.7,5
45,2015,425000,49800,24.7,1498,98.63,5
46,2013,1090000,151000,13.5,2477,175.56,7
47,2015,600000,54700,26.0,1498,98.6,5
48,2015,525000,63000,27.3,1498,98.6,5
49,2016,1650000,127700,11.36,2755,171.5,7
50,2016,950000,99000,12.99,2494,100.6,7
51,2013,1750000,33900,17.68,1968,174.33,5
52,2013,1689999,50000,18.53,1968,187.74,5
53,2013,1425000,59000,14.84,2143,170.0,5
54,2011,265000,120000,21.12,1248,88.8,5
55,2011,190000,110000,20.36,1197,78.9,5
56,2013,425000,60000,21.27,1396,88.76,5
57,2015,630000,147000,26.59,1248,74.0,5
58,2017,600000,25000,18.16,1196,86.8,5
59,2019,650000,30000,21.4,1197,83.1,5
60,2016,540000,40000,22.0,1498,108.495,5
61,2015,630000,135000,25.1,1498,98.6,5
62,2018,448000,30000,20.51,998,67.0,5
63,2017,500000,80000,21.66,1498,108.62,5
64,2019,1025000,9850,24.3,1248,88.5,5
65,2016,630000,70000,25.2,1248,74.0,5
66,2015,1700000,78000,12.55,2982,168.5,7
67,2013,450000,120000,22.9,1248,74.0,5
68,2012,450000,120000,16.02,1373,93.7,7
69,2003,50000,70000,19.43284223558543,1435,88.10307019094766,5
70,2013,450000,170000,20.54,1598,103.6,5
71,2016,1200000,140000,12.99,2494,100.6,8
72,2015,610000,90000,22.77,1498,98.59,5
73,2016,2500000,30000,15.71,1998,189.0,5
74,2017,484999,10000,23.1,998,67.04,5
75,2016,275000,49000,19.02,1198,67.05,5
76,2016,315000,32000,24.7,796,47.3,5
77,2016,275000,38000,24.7,796,47.3,5
78,2015,475000,78000,19.43284223558543,1435,88.10307019094766,5
79,2012,290000,28000,19.81,1086,68.05,5
80,2017,280000,32000,14.0,796,35.0,5
81,2010,225000,44000,26.2,998,58.2,5
82,2015,455000,42000,16.47,1198,74.0,5
83,2015,351000,45000,19.81,1086,68.05,5
84,2012,535000,12000,15.04,1598,103.6,5
85,2009,175000,55500,18.2,998,67.1,5
86,2013,525000,61500,18.5,1197,82.85,5
87,2016,600000,150000,26.59,1248,74.0,5
88,2016,565000,72000,19.1,1197,82.0,5
89,2008,120000,68000,19.7,796,46.3,5
90,2017,725000,110000,22.54,1396,88.73,5
91,2009,185000,77000,21.79,998,67.05,5
92,2010,200000,100000,18.8,1248,90.0,5
93,2019,615000,10000,21.21,1197,81.8,5
94,2018,610000,35000,21.4,1197,83.1,5
95,2014,625000,70000,11.79,2179,120.0,8
96,2020,400000,5000,19.0,1194,94.68,5
97,2017,866000,37800,17.0,1591,121.3,5
98,2010,700000,114000,14.3,1798,160.0,5
99,2019,1700000,32000,15.1,2179,155.0,7
100,2016,375000,100000,19.09,1405,69.01,5
101,2013,522000,150000,22.32,1582,126.32,5
102,2013,451999,69000,21.9,1396,88.76,5
103,2009,300000,100000,14.53,1798,138.1,5
104,2020,475000,13000,21.63,998,67.04,5
105,2016,780000,60000,24.3,1248,88.5,5
106,2017,595000,40000,20.85,1197,83.14,5
107,2010,300000,120000,19.43284223558543,1435,88.10307019094766,5
108,2014,400000,70000,20.45,1461,83.8,5
109,2016,1140000,50000,19.67,1582,126.2,5
110,2012,370000,175000,19.3,1248,73.9,5
111,2018,350000,25000,23.01,999,67.0,5
112,2015,360000,40000,23.1,998,67.04,5
113,2008,105000,65000,19.7,796,46.3,5
114,2009,135000,80000,17.92,1086,62.1,5
115,2015,700000,110000,20.77,1248,88.76,7
116,2019,690000,1303,17.8,1198,86.7,5
117,2018,3975000,31800,17.01,1968,188.0,5
118,2019,5150000,20000,22.37,2487,214.56,5
119,2017,3200000,45000,19.33,1999,177.0,5
120,2019,4500000,21000,12.83,1999,148.31,7
121,2017,6000000,37000,13.5,2987,254.79,5
122,2018,3790000,29500,22.48,1995,187.74,5
123,2017,2150000,27000,19.43284223558543,1435,88.10307019094766,5
124,2019,5800000,7500,16.78,1995,190.0,5
125,2018,1864999,50000,14.67,1798,177.46,5
126,2016,2700000,35000,15.0,2143,204.0,5
127,2019,1750000,19000,13.96,1451,141.0,5
128,2013,625000,39000,14.28,1798,138.03,5
129,2018,3400000,22000,18.0,1969,190.0,5
130,2015,2650000,53000,12.07,2967,241.4,7
131,2015,535000,40000,26.21,1248,88.5,5
132,2017,5850000,47000,13.5,2987,282.0,5
133,2010,975000,72200,10.8,2497,150.0,5
134,2017,2625000,9000,13.6,1999,177.0,5
135,2018,811000,11000,17.0,1198,108.5,5
136,2011,375000,49000,15.04,1598,103.6,5
137,2012,550000,95000,16.3,1797,147.5,5
138,2016,645000,11000,14.3,1598,103.5,5
139,2018,2550000,18000,15.04,1991,183.0,5
140,2017,2700000,16000,14.74,1991,181.04,5
141,2017,875000,18000,15.6,1497,116.3,5
142,2019,894999,9654,19.56,1197,81.8,5
143,2011,175000,11000,23.95,998,67.05,5
144,2012,340000,24300,21.21,1197,81.8,5
145,2018,1025000,8000,21.5,1497,108.5,5
146,2016,2150000,30000,22.69,1995,190.0,5
147,2016,1900000,41000,19.16,2494,157.7,5
148,2016,2900000,12000,18.12,1995,190.0,5
149,2009,450000,71000,12.1,2362,164.7,5
150,2016,850000,20000,17.5,1373,91.1,7
151,2017,10000000,30000,42.0,1969,400.0,4
152,2018,575000,9500,18.16,1196,86.8,5
153,2011,160000,120000,20.0,1399,68.0,5
154,2015,515000,36600,20.4,1197,81.8,5
155,2015,390000,50000,20.51,998,67.0,5
156,2016,550000,14000,18.6,1197,81.83,5
157,1999,40000,40000,16.1,796,37.0,4
158,2010,220000,120000,21.1,1248,73.9,5
159,2015,425000,70000,18.9,1197,82.0,5
160,2019,480000,13000,19.44,999,75.0,5
161,2014,487000,35000,19.1,1197,85.8,5
162,2016,386000,44000,19.1,1197,82.0,5
163,2005,100000,120000,13.0,1493,100.0,5
164,2010,300000,60000,21.43,1364,87.2,5
165,2000,100000,60000,18.5,796,53.0,5
166,2014,1750000,30000,13.0,2982,168.5,7
167,2016,450000,15000,18.15,1198,82.0,6
168,2017,490000,90000,22.95,1248,74.0,5
169,2009,345000,47000,17.0,1497,118.0,5
170,2005,85000,90000,17.3,993,60.0,5
171,2005,65000,86000,15.3,1341,83.0,5
172,2017,800000,37000,28.09,1248,88.5,5
173,2019,520000,14000,20.3,1199,84.0,5
174,2015,580000,70000,20.77,1248,88.76,7
175,2012,235000,120000,19.43284223558543,1435,88.10307019094766,5
176,2015,600000,50000,17.4,1497,117.3,5
177,2016,360000,50000,26.6,998,58.16,5
178,2017,550000,50000,20.85,1197,83.14,5
179,2003,40000,90000,19.43284223558543,1435,88.10307019094766,5
180,2018,420000,35000,20.51,998,67.0,5
181,2017,550000,20000,21.21,1197,81.8,5
182,2018,700000,7800,22.0,1197,81.8,5
183,2017,500000,20000,20.4,1197,81.8,5
184,2019,1250000,15000,17.6,2179,147.94,7
185,2013,320000,31377,18.5,1197,82.85,5
186,2018,700000,50000,28.4,1248,74.02,5
187,2015,290000,60000,20.51,998,67.04,5
188,2012,550000,100000,14.53,1794,138.1,5
189,2018,830000,5000,21.4,1197,83.1,5
190,2017,800000,60000,14.1,2179,147.94,7
191,2017,329000,80000,20.63,1198,67.0,5
192,2017,775000,75000,24.3,1248,88.5,5
193,2020,524000,32000,20.14,1197,81.86,5
194,2015,245000,40000,22.74,796,47.3,5
195,2012,275000,93000,17.0,1197,80.0,5
196,2018,520000,60000,17.57,1193,88.7,5
197,2008,130000,120000,19.43284223558543,1435,88.10307019094766,5
198,2014,550000,37000,16.95,1498,97.7,5
199,2018,910000,15000,17.0,1497,121.36,5
200,2016,350000,140000,20.51,998,67.04,5
201,2013,900000,70000,12.83,2696,162.0,7
202,2013,300000,120000,17.21,1493,100.0,7
203,2010,250000,110000,21.1,1248,73.9,5
204,2017,1100000,37000,19.67,1582,126.2,5
205,2016,270000,44000,25.17,799,53.3,5
206,2015,640000,80000,20.77,1248,88.76,7
207,2015,650000,125000,15.1,2179,140.0,7
208,2017,409999,13500,15.37,1196,73.0,5
209,2011,165000,75000,17.92,1086,62.1,5
210,2007,80000,120000,13.2,1495,94.0,5
211,2012,535000,120000,15.1,2179,140.0,7
212,2013,700000,70000,12.99,2494,100.57,7
213,2013,550000,70000,23.4,1248,74.0,5
214,2019,680000,15000,19.0,1199,88.76,5
215,2009,200000,53000,20.36,1197,78.9,5
216,2014,500000,120000,23.4,1248,74.0,5
217,2016,1000000,70000,24.52,1248,88.5,7
218,2008,110000,120000,14.2,1341,82.9,5
219,2012,320000,100000,18.5,1197,80.0,5
220,2005,75000,110000,19.43284223558543,1435,88.10307019094766,5
221,2015,350000,100000,20.4,1197,83.11,5
222,2013,170000,162500,19.4,1405,70.0,5
223,2017,800000,39000,22.54,1396,88.73,5
224,2017,500000,75000,26.8,1248,74.0,5
225,2017,1380000,50000,17.6,2179,153.86,7
226,2019,1300000,40000,17.3,1497,121.0,8
227,2013,530000,92500,22.32,1582,126.3,5
228,2012,360000,158000,23.4,1248,74.0,5
229,2012,310000,120000,19.3,1248,73.9,5
230,2015,725000,50000,26.0,1498,98.6,5
231,2012,340000,110000,19.3,1248,73.9,5
232,2017,550000,2000,25.4,1186,73.97,5
233,2016,380000,70000,27.28,1047,69.0,5
234,2013,350000,90000,17.97,1498,99.6,5
235,2019,610000,2000,18.6,1197,81.86,5
236,2015,525000,20000,20.85,1197,83.14,5
237,2011,480000,120000,12.8,2494,102.0,7
238,2017,780000,35000,16.55,2498,105.0,6
239,2012,320000,193000,19.3,1248,73.9,5
240,2014,375000,80000,20.4,1197,81.8,5
241,2019,300000,40000,19.02,1198,67.05,5
242,2015,500000,70000,22.54,1396,88.73,5
243,2011,404000,122358,12.05,2179,120.0,9
244,2017,350000,120000,27.28,1047,69.0,5
245,2015,380000,40000,17.57,1193,88.7,5
246,2014,335000,33033,19.4,1198,86.8,5
247,2015,465000,63063,18.9,1197,82.0,5
248,2012,290000,60000,21.02,1248,88.76,5
249,2005,110000,45000,19.7,796,46.3,5
250,2007,210000,207890,13.6,2523,63.0,7
251,2018,4600000,7976,17.9,2143,170.0,5
252,2016,220000,35000,16.8,796,34.2,8
253,2017,450000,35000,18.9,1197,82.0,5
254,2013,290000,50000,16.95,1197,78.9,5
255,2011,265000,20000,16.95,1197,78.9,5
256,2012,330000,50000,18.6,1197,85.8,5
257,2014,509999,120000,15.96,2523,62.1,7
258,2014,500000,70000,17.1,1591,121.3,5
259,2015,525000,50000,17.19,1197,81.86,5
260,2019,675000,16500,21.01,1197,81.8,5
261,2010,300000,70000,17.0,1197,80.0,5
262,2005,90000,99361,19.7,796,46.3,5
263,2014,409000,70000,19.1,1197,85.8,5
264,2015,395000,80000,24.0,1120,70.0,5
265,2010,215000,70000,19.43284223558543,1435,88.10307019094766,5
266,2012,120000,60000,18.6,1199,79.4,5
267,2018,645000,10000,20.3,1199,84.0,5
268,2006,81000,80000,16.1,796,37.0,4
269,2017,1300000,30000,25.6,1498,97.9,5
270,2017,1250000,33000,25.6,1498,97.9,5
271,2013,535000,90000,16.02,1373,93.7,7
272,2014,555000,80100,19.01,1461,108.5,5
273,2014,725000,120000,17.4,1497,117.3,5
274,1983,300000,10000,19.43284223558543,1435,88.10307019094766,5
275,2016,229999,40000,25.17,799,53.3,5
276,2013,800000,160000,12.99,2494,100.6,8
277,2017,409999,47000,20.51,998,67.04,5
278,2018,1210000,25000,21.38,1396,88.7,5
279,2017,400000,26000,23.84,1199,84.0,5
280,2018,520000,29000,24.0,1186,73.97,5
281,2016,650000,50000,21.4,1197,83.1,5
282,2011,325000,58000,16.1,1298,88.2,5
283,2012,420000,120000,17.4,1197,85.8,5
284,2003,65000,60000,17.3,993,60.0,5
285,2017,351000,36000,23.1,998,67.04,5
286,2007,404000,120000,12.8,2494,102.0,8
287,2011,185000,185000,21.1,1248,73.9,5
288,2011,250000,50000,23.08,1461,63.1,5
289,2002,60000,100000,17.3,993,60.0,5
290,2013,500000,50000,17.1,1591,121.3,5
291,2007,85000,80000,18.2,998,67.1,5
292,2005,85000,60000,19.43284223558543,1435,88.10307019094766,5
293,2005,85000,80000,19.7,796,46.3,5
294,2010,130000,162000,19.0,998,66.1,5
295,2013,480000,110000,20.77,1248,88.76,7
296,2008,170000,120000,17.8,1248,75.0,5
297,2011,275000,45000,23.08,1461,63.1,5
298,2005,89000,90000,18.9,998,67.1,5
299,2010,170000,90000,20.0,1399,68.0,5
300,2017,1100000,67000,17.01,1582,126.2,5
301,2018,610000,52000,22.0,1197,81.8,5
302,2016,335000,40000,20.63,1198,67.0,5
303,2018,3000000,35000,14.24,2755,174.5,7
304,2018,390000,13000,20.71,799,53.26,5
305,2012,325000,40000,18.5,1198,86.8,5
306,2019,640000,10000,17.0,1198,73.75,5
307,2012,450000,9000,16.95,1498,97.7,5
308,2013,400000,70000,23.59,1364,67.06,5
309,2009,215000,60000,20.36,1197,78.9,5
310,2014,570000,40000,20.45,1461,83.8,5
311,2012,680000,93000,15.1,2179,140.0,7
312,2008,325000,80000,12.8,2494,102.0,7
313,2011,150000,50000,15.64,1193,64.08,5
314,2013,690000,68000,14.5,1797,147.5,5
315,2012,64000,18000,25.4,624,37.5,4
316,2013,250000,120000,23.08,1461,63.1,5
317,2005,65000,35000,18.9,998,67.1,5
318,2016,550000,60000,26.59,1248,74.0,5
319,2016,300000,30000,25.17,799,53.3,5
320,2016,800000,70000,16.34,1798,189.3,5
321,2015,503000,110000,14.1,2179,147.94,7
322,2013,225000,58343,21.79,998,67.05,5
323,2018,740000,38817,27.39,1248,74.0,5
324,2016,550000,56494,18.2,1199,88.7,5
325,2013,750000,79328,12.99,2494,100.6,7
326,2019,650000,5621,22.0,1197,81.8,5
327,2017,625000,25538,16.78,1496,88.73,5
328,2018,600000,69779,22.0,1197,81.8,5
329,2017,450000,56290,24.0,1186,73.97,5
330,2019,5500000,8500,16.78,1995,190.0,5
331,2019,779000,7032,19.0,1199,88.76,5
332,2018,2475000,2000,16.8,1984,150.0,5
333,2012,265000,162000,19.43284223558543,1435,88.10307019094766,5
334,2009,500000,120000,11.1,2354,158.8,5
335,2015,480000,90000,26.59,1248,74.0,5
336,2014,535000,70000,22.32,1582,126.32,5
337,2005,250000,240000,12.8,2494,102.0,8
338,2012,300000,100000,21.5,1248,88.8,5
339,2009,340000,214000,16.8,1493,110.0,5
340,2016,240000,50000,22.74,796,47.3,5
341,2018,1085000,1000,18.0,1497,117.6,5
342,2017,750000,19000,28.4,1248,74.02,5
343,2012,95000,265000,17.0,1405,70.0,5
344,2020,409999,35000,20.88,1196,61.7,5
345,2014,215000,80000,23.95,998,67.05,5
346,2016,1290000,50000,16.0,2179,140.0,7
347,2010,150000,80000,20.92,998,67.1,5
348,2018,325000,100000,23.84,1199,84.0,5
349,2013,260000,120000,15.1,1196,73.0,5
350,2019,3800000,20000,18.0,1969,190.0,5
351,2019,700000,40000,23.8,1498,78.9,5
352,2017,950000,45000,21.38,1396,88.7,5
